log10(Age / yr),age,cx,cy,cz,redshift,MWfactor,starfLogMass,ra,dec,lookback_time,radius,colour,img,ModelMag_i,ModelMag_g
9.88181,7.62,-0.741774,-0.210143,0.636876,0.255995,0.27,10.43,7.82874,-1.0978,3.100747,0.8845,0,194,19.66085,22.0229
-999,0.00,-0.854078,-0.519816,-0.018469,0.202388,0.15,10.19,7.78331,-0.99578,2.53977,0.8485,2,195,19.41646,20.66252
9.5968,3.95,-0.281487,-0.860522,0.424578,0.061891,0,8.18,7.63263,-0.8112,0.855532,0.547,2,196,21.00466,21.79894
9.47501,2.99,0.911358,-0.405121,0.07283,0.239337,0.15,10.18,7.65878,-0.79828,2.930794,0.847,0,197,19.4678,21.56394
9.29057,1.95,0.894551,0.445058,-0.041245,0.247138,0.66,10.82,7.80141,-0.77849,3.010856,0.943,0,198,19.49067,21.59643
9.5968,3.95,0.913687,0.403029,-0.052379,0.053629,0.07,9.84,7.52211,-0.49012,0.74569,0.796,0,199,16.6609,18.20454
9.60044,3.99,0.919698,0.389964,-0.045648,0.060178,0.21,10.33,7.61887,-0.41772,0.832864,0.8695,1,200,15.96298,17.25356
-999,0.00,0.961693,0.270546,-0.044168,0.07439,0.42,10.62,7.66876,-0.22844,1.01925,0.913,1,201,16.08462,17.43463
9.56252,3.65,0.765379,0.630646,-0.128378,0.243977,0.69,10.84,7.60617,-0.17124,2.97852,0.946,0,202,19.14877,21.3621
-999,0.00,0.907496,0.408607,0.097428,0.075736,0.15,10.17,7.59944,-0.12763,1.036708,0.8455,1,203,15.84139,17.1617
9.92171,8.35,-0.334108,0.783065,0.524577,0.192848,0.02,9.19,7.65341,-0.05954,2.435546,0.6985,2,204,20.37001,21.2477
-999,0.00,-0.473261,0.739208,0.479161,0.246881,0.14,10.15,7.56925,-0.05558,3.008234,0.8425,0,205,19.57816,21.56782
9.92171,8.35,-0.412824,0.778883,0.472141,0.278459,0.3,10.48,7.55398,0.06371,3.323942,0.892,1,206,18.91982,20.47426
9.69181,4.92,-0.447359,0.84755,0.285534,0.34354,1.1,11.04,7.48371,-1.19758,3.933883,0.976,0,207,19.14143,21.38491
-999,0.00,-0.322659,0.48319,0.813891,0.270816,0.5,10.7,7.59545,-1.1598,3.248758,0.925,0,208,19.66457,22.04699
9.99637,9.92,0.876487,0.464763,0.125562,0.063957,0.15,10.19,7.56391,-1.17852,0.882792,0.8485,1,209,15.76167,17.08867
-999,0.00,-0.684393,0.413981,0.600188,0.318746,0.52,10.72,7.59212,-1.119,3.707734,0.928,0,210,19.26112,21.36346
-999,0.00,-0.572661,0.580705,0.578655,0.056626,0,7.81,7.6002,-1.0247,0.785688,0.4915,2,211,19.24061,19.16541
9.6676,4.65,-0.706167,0.147135,0.692589,0.181336,0.03,9.43,7.46319,-0.98993,2.307948,0.7345,1,212,19.4171,20.78633
9.70342,5.05,-0.836513,0.546219,0.043482,0.214408,0.05,9.67,7.47638,-0.96968,2.669146,0.7705,2,213,18.69567,20.049
9.77944,6.02,-0.994256,-0.062077,0.087191,0.340896,0.4,10.6,7.6122,-0.94289,3.910121,0.91,0,214,19.40284,21.45529
9.13117,1.35,-0.612943,0.781436,0.116869,0.113082,0.01,8.77,7.55888,-0.88695,1.507995,0.6355,2,215,19.9192,20.62061
-999,0.00,-0.992556,0.096377,0.074461,0.20191,0.07,9.83,7.5269,-0.86381,2.534582,0.7945,0,216,19.34366,21.01089
-999,0.00,-0.925021,0.371409,0.079948,0.332357,0.22,10.35,7.48593,-0.74201,3.832796,0.8725,0,217,19.72522,21.91668
7.29384,0.02,-0.927764,0.350066,0.129259,0.239823,0.07,9.86,7.56958,-0.73455,2.935806,0.799,1,218,19.74184,21.41293
9.747,5.58,-0.118138,-0.820116,0.559868,0.205338,0.02,9.39,7.49657,-0.5046,2.571722,0.7285,1,219,20.15163,21.45446
9.81631,6.55,-0.11901,-0.845522,0.520509,0.057288,0,7.58,7.42165,-0.59028,0.794489,0.457,2,220,20.11626,22.06194
-999,0.00,0.852994,-0.521549,-0.019688,0.065939,0.44,10.64,7.48802,-0.59024,0.908869,0.916,0,221,15.95671,17.41781
-999,0.00,0.992344,-0.121646,0.021348,0.057567,0.08,9.89,7.49504,-0.25123,0.798201,0.8035,1,222,16.09189,17.55404
9.14174,1.39,-0.351998,0.52717,0.773427,0.037241,0.1,10.02,7.43496,-0.2283,0.523922,0.823,1,223,14.84153,15.74942
-999,0.00,-0.370913,0.411319,0.83261,0.086283,0.69,10.84,7.52722,-0.1549,1.172347,0.946,0,224,16.15045,17.60534
9.25986,1.82,-0.382489,0.048024,0.922711,0.054751,0.09,9.94,7.44867,-0.1437,0.760687,0.811,1,225,16.26511,17.66547
9.95985,9.12,-0.830015,-0.551513,0.083115,0.053663,0.3,10.48,7.52339,-0.1089,0.746149,0.892,1,226,15.73003,16.91427
9.85029,7.08,-0.660015,-0.747672,0.073253,0.086586,0.23,10.36,7.52424,-0.00292,1.176209,0.874,1,227,15.98189,17.33379
-999,0.00,-0.66011,-0.747123,0.07786,0.055787,0.3,10.47,7.51815,0.04168,0.774498,0.8905,0,228,16.01181,17.42858
-999,0.00,0.964994,0.022271,0.261326,0.070285,0.17,10.22,7.51842,0.02103,0.965795,0.853,0,229,16.24639,17.76979
-999,0.00,-0.370475,0.779362,0.505316,0.079255,0.63,10.8,7.41277,-1.22711,1.082191,0.94,1,230,16.01888,17.39012
-999,0.00,-0.492447,-0.006203,0.87032,0.06584,0.22,10.35,7.37237,-1.15661,0.907567,0.8725,1,231,16.22727,17.54264
9.37149,2.35,-0.6306,0.020596,0.775835,0.082872,0.69,10.84,7.27758,-1.14407,1.128698,0.946,1,232,16.03736,17.37643
7.72423,0.05,-0.585511,-0.013526,0.810551,0.051289,0.07,9.85,7.23478,-1.15005,0.714343,0.7975,1,233,15.73036,17.02954
-999,0.00,-0.39983,-0.656757,0.639379,0.033581,0.09,9.97,7.39416,-1.12039,0.473671,0.8155,1,234,15.6621,16.86178
-999,0.00,-0.981308,-0.02027,0.191371,0.059476,0.36,10.56,7.45856,-1.16853,0.823559,0.904,1,235,15.77392,16.9873
9.48931,3.09,-0.570839,0.649429,0.502379,0.065416,0.18,10.25,7.26133,-0.97717,0.902001,0.8575,1,236,15.90232,17.36298
9.82289,6.65,-0.489332,-0.614406,0.618918,0.064767,0.13,10.12,7.37251,-1.00491,0.893458,0.838,1,237,16.11838,17.44967
-999,0.00,-0.578885,-0.57562,0.577541,0.089468,0.2,10.3,7.35324,-0.98741,1.212902,0.865,1,238,15.72468,16.98206
-999,0.00,-0.307778,-0.863506,0.399538,0.035239,0.17,10.24,7.18737,-0.83689,0.49647,0.856,1,239,15.67842,16.91584
8.62279,0.42,-0.389081,-0.741468,0.546663,0.062715,0.14,10.15,7.18989,-0.75959,0.866413,0.8425,1,240,15.7787,17.15952
9.80963,6.45,-0.726396,0.133808,0.674125,0.059549,0.1,10,7.43213,-0.73717,0.824529,0.82,1,241,15.82946,17.13935
7.29384,0.02,-0.693496,-0.24141,0.678811,0.074459,0.17,10.22,7.37345,-0.61453,1.020137,0.853,1,242,16.36555,17.76122
-999,0.00,-0.637921,-0.294943,0.711383,0.062522,0.12,10.09,7.24868,-0.64191,0.863857,0.8335,1,243,15.82084,17.05109
9.54224,3.49,-0.348217,-0.833938,0.428126,0.039984,0.09,9.95,7.28431,-0.60848,0.561412,0.8125,1,244,15.8125,17.1203
-999,0.00,-0.299955,0.636339,0.710704,0.043521,0.14,10.16,7.30353,-0.627,0.609528,0.844,1,245,15.79271,17.1383
-999,0.00,-0.298294,0.56321,0.770594,0.022948,0.06,9.81,7.27133,-0.40502,0.326187,0.7915,1,246,14.58938,15.55311
9.89858,7.92,-0.817647,0.197685,0.540716,0.080608,0.15,10.19,7.26264,-0.56983,1.099611,0.8485,1,247,15.94959,17.22583
9.97391,9.42,-0.782211,-0.335247,0.525125,0.061565,0.12,10.08,7.30087,-0.19679,0.851225,0.832,1,248,15.99014,17.30723
9.43439,2.72,-0.775034,-0.474814,0.416981,0.061619,0.21,10.32,7.2203,-0.24269,0.851927,0.868,1,249,15.79018,17.06981
9.94037,8.72,-0.732043,-0.510122,0.451541,0.061126,0.66,10.82,7.36804,0.04989,0.845415,0.943,1,250,15.80514,17.06897
9.76477,5.82,-0.720689,-0.557296,0.412345,0.080579,0.44,10.64,7.32817,-0.1821,1.099235,0.916,1,251,15.93851,17.22914
-999,0.00,-0.888661,-0.088401,0.449964,0.06361,0.47,10.67,7.21606,0.05906,0.878223,0.9205,1,252,15.71644,16.97536
9.68289,4.82,-0.956756,0.072623,0.28168,0.051828,0.16,10.2,7.29345,-0.16378,0.721569,0.85,1,253,15.72445,17.07479
-999,0.00,-0.79631,0.553389,0.244234,0.095081,0.2,10.3,7.24385,-0.16747,1.283943,0.865,1,254,17.16499,18.45344
-999,0.00,-0.822755,0.492966,0.282947,0.062183,0.13,10.12,7.16397,-0.10452,0.859383,0.838,1,255,15.87778,17.28127
-999,0.00,-0.832031,0.477984,0.281525,0.080316,0.38,10.58,7.38066,0.07306,1.095855,0.907,1,256,15.82946,17.10664
9.6707,4.68,-0.89742,0.332058,0.290474,0.058316,0.09,9.97,7.15385,-1.14976,0.808161,0.8155,1,257,15.91627,17.231
9.91296,8.18,-0.909151,-0.259244,0.325939,0.082159,0.5,10.7,7.05951,-1.07834,1.119545,0.925,1,258,15.66352,16.9369
9.13117,1.35,-0.742847,-0.603635,0.289487,0.076097,0.12,10.09,7.02598,-1.06249,1.041377,0.8335,1,259,16.00174,17.31833
9.68588,4.85,-0.802137,-0.432058,0.412193,0.057363,0.42,10.62,7.03496,-0.99281,0.795489,0.913,0,260,16.37328,17.93481
9.27549,1.89,0.893659,0.448686,-0.007405,0.083501,0.51,10.71,6.90986,-0.91376,1.136768,0.9265,1,261,15.69608,16.97638
9.23532,1.72,-0.263481,0.680888,0.683352,0.221459,0.55,10.74,6.7821,-0.8391,2.744062,0.931,0,262,19.64518,21.74434
9.35263,2.25,-0.328564,0.740823,0.585856,0.437285,0.65,10.81,7.00259,-0.77385,4.725328,0.9415,0,263,19.75225,21.84434
9.78423,6.08,-0.297017,0.533755,0.791762,0.390156,0.54,10.73,7.05779,-0.76984,4.339543,0.9295,0,264,19.96878,22.26684
8.54766,0.35,-0.757392,0.652885,-0.009938,0.322414,0.44,10.64,7.1076,-0.79428,3.741655,0.916,1,265,20.71038,22.41596
9.65176,4.48,-0.97247,-0.228551,-0.045469,0.341005,0.29,10.46,6.85327,-0.62805,3.911095,0.889,0,266,19.4403,21.51418
7.29384,0.02,-0.844059,0.535947,-0.018037,0.361606,0.79,10.9,7.15408,-0.32116,4.094052,0.955,0,267,19.93349,21.97892
9.71473,5.18,-0.9801,-0.196819,-0.025803,0.238182,0.33,10.52,6.98287,-0.67108,2.918861,0.898,0,268,18.95832,20.71739
7.29384,0.02,-0.812828,-0.582453,0.007746,0.166102,0.04,9.59,6.99473,-0.32326,2.135941,0.7585,1,269,19.15526,20.34346
8.27019,0.19,-0.895298,-0.444895,0.022567,0.33609,0.22,10.35,7.16021,-0.23052,3.866708,0.8725,1,270,20.11605,21.74625
9.33959,2.19,-0.894021,-0.446531,-0.036576,0.241838,0.38,10.58,6.86301,-0.72258,2.956556,0.907,0,271,19.40864,21.20189
9.19104,1.55,-0.34651,-0.890193,0.295782,0.088496,0.28,10.44,6.98997,-0.06129,1.200541,0.886,1,272,15.99431,17.37879
7.29384,0.02,0.79387,-0.606034,0.049934,0.236403,0.1,9.98,6.87103,0.03942,2.900462,0.817,1,273,19.78281,21.3511
9.98001,9.55,0.81335,-0.570878,0.112073,0.159558,0.03,9.53,7.14782,0.07104,2.060924,0.7495,1,274,20.36901,21.93546
-999,0.00,-0.209172,-0.908766,0.361099,0.310133,0.43,10.63,6.73143,-0.72554,3.627412,0.9145,0,275,19.50108,21.82163
8.07788,0.12,-0.242012,-0.893306,0.378728,0.20766,0.01,8.78,6.68964,-0.63529,2.596772,0.637,2,276,21.20097,22.09435
-999,0.00,0.76208,-0.64712,-0.021649,0.112945,0.01,9.03,6.63047,-0.5514,1.506314,0.6745,1,277,19.52133,21.01707
-999,0.00,0.957196,-0.283865,0.056534,0.36768,1.58,11.2,6.68639,-0.23974,4.147055,1,0,278,18.13591,20.59338
-999,0.00,0.870838,-0.486813,0.068225,0.305833,0.31,10.49,6.56255,-0.28119,3.586961,0.8935,0,279,19.86025,21.93166
-999,0.00,-0.374801,0.838709,0.395083,0.075346,0.28,10.45,6.71708,-0.08236,1.031645,0.8875,1,280,15.97419,17.32797
9.99928,9.98,-0.390684,0.859809,0.328777,0.088688,0.01,8.92,6.69428,0.5107,1.202993,0.658,2,281,19.33002,20.39743
-999,0.00,-0.572283,0.755795,0.318224,0.364939,0.46,10.66,6.59166,0.27424,4.123185,0.919,0,282,20.05972,22.11713
-999,0.00,-0.415615,0.859589,0.297271,0.075102,0.26,10.42,6.65719,0.53187,1.028483,0.883,1,283,16.11371,17.46582
-999,0.00,0.86501,0.475856,0.159116,0.078775,0.27,10.43,6.6997,0.3808,1.075996,0.8845,0,284,15.8676,17.30769
9.95022,8.92,0.886995,0.438153,0.145812,0.101432,0,8.45,6.78735,0.73979,1.363649,0.5875,2,285,19.00456,19.77144
9.26775,1.85,-0.212213,-0.861864,0.460603,0.21187,0.25,10.39,6.60276,0.49043,2.642009,0.8785,1,286,20.03708,21.40617
9.99928,9.98,0.764459,-0.64428,0.022459,0.230245,0.23,10.36,6.64499,0.5494,2.836392,0.874,0,287,19.89221,22.02398
-999,0.00,0.983657,-0.179575,-0.01309,0.042982,0.18,10.26,6.66881,0.2691,0.602208,0.859,1,288,15.80894,17.1228
-999,0.00,0.98902,0.146846,-0.016626,0.051824,0.07,9.85,6.62546,0.25571,0.721512,0.7975,1,289,15.84772,17.04889
-999,0.00,-0.378649,0.557745,0.73861,0.052404,0.46,10.66,6.5961,0.23038,0.72929,0.919,1,290,14.76771,16.06561
9.82506,6.68,-0.799877,0.599816,0.020411,0.051831,0.16,10.21,6.66826,0.22244,0.721616,0.8515,1,291,15.87906,17.17807
9.78184,6.05,-0.83847,0.543776,0.035709,0.057345,0.17,10.22,6.61019,0.04567,0.795259,0.853,0,292,15.89685,17.39565
-999,0.00,-0.439159,0.437171,0.78487,0.058083,0.12,10.07,6.51942,0.0728,0.80507,0.8305,1,293,16.04456,17.45021
9.43439,2.72,-0.549237,-0.834647,0.041258,0.048771,0.06,9.75,6.60817,0.17132,0.680496,0.7825,0,294,16.27687,17.82094
-999,0.00,-0.398128,-0.23523,0.886657,0.072197,0.11,10.05,6.95504,0.41233,0.990728,0.8275,1,295,16.28121,17.64937
9.747,5.58,-0.485761,0.319072,0.813775,0.04618,0.18,10.25,6.86718,0.7168,0.645531,0.8575,1,296,15.69076,16.95783
9.94696,8.85,-0.459699,-0.140925,0.876822,0.076745,0.1,10.02,6.98721,0.41996,1.04977,0.823,1,297,16.39253,17.59992
-999,0.00,-0.860726,-0.50626,-0.053393,0.067673,0.45,10.65,6.9711,0.31794,0.931629,0.9175,1,298,15.79656,17.11906
-999,0.00,-0.825258,-0.562965,-0.044933,0.054882,0.09,9.97,6.86164,0.48686,0.762425,0.8155,1,299,16.31448,17.7387
9.68289,4.82,-0.572499,-0.079671,0.816026,0.045429,0.24,10.38,6.78584,0.19078,0.635382,0.877,1,300,15.70785,16.90561
9.71473,5.18,-0.649635,0.75514,0.087963,0.051058,0.1,10.02,6.93138,0.12821,0.711238,0.823,1,301,15.80645,17.08265
9.39543,2.49,-0.5007,0.731851,0.462271,0.084396,0.51,10.71,7.00643,0.1891,1.148222,0.9265,1,302,15.94369,17.25515
-999,0.00,-0.984844,0.068072,0.159526,0.108791,0.26,10.41,6.97776,0.51793,1.455108,0.8815,1,303,16.33149,17.82973
9.83996,6.92,-0.545507,0.670816,0.502422,0.044954,0.05,9.67,6.87829,0.16946,0.628946,0.7705,0,304,16.45766,17.9607
7.29384,0.02,-0.489411,-0.668618,0.559845,0.074815,0.56,10.75,6.97562,0.38704,1.024767,0.9325,1,305,15.70782,16.96266
8.85701,0.72,-0.695091,-0.031633,0.718226,0.084651,0.22,10.34,6.99612,0.64515,1.151485,0.871,1,306,15.86045,17.15866
-999,0.00,-0.444434,-0.680722,0.582319,0.07713,0.66,10.82,7.10425,1.10119,1.054749,0.943,0,307,16.55992,18.2583
9.90222,7.98,-0.411127,-0.777335,0.476156,0.05176,0.26,10.42,6.81781,0.7892,0.720655,0.883,1,308,15.72153,17.04618
-999,0.00,-0.970391,-0.127298,0.20527,0.08677,0.24,10.38,6.82384,0.74684,1.178556,0.877,0,309,16.2098,17.59082
-999,0.00,-0.52997,-0.368824,0.76361,0.072017,0.39,10.59,7.1635,0.68419,0.988391,0.9085,0,310,15.95523,17.4016
-999,0.00,-0.857062,-0.479913,0.187426,0.249643,1.12,11.05,7.18527,0.31075,3.036386,0.9775,0,311,16.78507,18.75884
-999,0.00,-0.305148,0.711791,0.632644,0.080375,0.23,10.37,7.04841,0.24584,1.096611,0.8755,1,312,15.90451,17.30549
9.73651,5.45,-0.939675,-0.321523,0.116764,0.091528,0.28,10.45,7.24464,0.33448,1.239037,0.8875,1,313,15.82438,17.14116
-999,0.00,-0.799359,-0.591972,0.102931,0.08363,0.24,10.38,7.19496,0.26108,1.13841,0.877,1,314,15.94029,17.22549
-999,0.00,-0.287599,0.569472,0.770057,0.037858,0.32,10.5,7.22412,0.27488,0.532366,0.895,1,315,14.44788,15.67824
9.72028,5.25,-0.503276,0.812911,0.293068,0.076623,0.41,10.61,7.0306,0.19123,1.048195,0.9115,1,316,15.75006,17.0579
9.29792,1.99,-0.609012,0.646863,0.458991,0.085481,0.24,10.38,7.16675,0.12705,1.162095,0.877,1,317,15.94833,17.34064
-999,0.00,-0.715059,-0.472037,0.515627,0.06597,0.52,10.72,7.33166,1.15385,0.909282,0.928,1,318,15.51849,16.76645
9.95022,8.92,-0.500629,-0.817168,0.28567,0.18998,0.38,10.58,7.21694,1.17001,2.403946,0.907,0,319,17.07207,19.15041
-999,0.00,-0.893138,-0.002419,0.449776,0.049993,0.21,10.32,7.23219,1.07798,0.696937,0.868,1,320,15.74758,17.03025
-999,0.00,-0.83519,0.436182,0.334967,0.051973,0.16,10.21,7.35614,1.03539,0.723523,0.8515,1,321,15.75358,17.0909
-999,0.00,-0.916346,0.230428,0.327435,0.066122,0.14,10.16,7.32091,1.02374,0.911277,0.844,1,322,15.94454,17.24662
9.77461,5.95,-0.907225,0.207049,0.366159,0.033117,0.05,9.66,7.19481,0.95613,0.467287,0.769,1,323,15.68737,16.94518
-999,0.00,-0.928122,0.064347,0.366673,0.052644,0.21,10.32,7.30312,0.96176,0.732504,0.868,1,324,16.19422,17.62468
-999,0.00,-0.935835,0.039856,0.350176,0.06761,0.23,10.36,7.27786,0.91388,0.930798,0.874,1,325,16.16848,17.54387
-999,0.00,-0.8574,-0.287686,0.426733,0.0641,0.33,10.52,7.25383,0.8824,0.884673,0.898,1,326,16.25284,17.63371
9.95022,8.92,-0.68901,-0.682358,0.244241,0.115547,0.22,10.34,7.2055,0.92449,1.538244,0.871,1,327,16.35301,17.64914
-999,0.00,-0.282614,0.544874,0.789457,0.286201,0.71,10.85,7.33454,0.61951,3.399311,0.9475,0,328,19.41582,21.467
9.91648,8.25,-0.332142,0.511933,0.792216,0.376052,1,11,7.25878,0.65787,4.21942,0.97,0,329,19.54913,21.77884
9.73651,5.45,-0.916146,0.3994,-0.034002,0.364667,1.02,11.01,7.40148,0.527,4.120812,0.9715,0,330,19.42694,21.35011
8.87667,0.75,-0.789944,0.611956,-0.038712,0.06896,0,8.39,7.41222,0.49759,0.948487,0.5785,2,331,20.07357,21.09352
9.5819,3.82,-0.734012,0.67707,0.052942,0.137047,0.01,9.05,7.30699,0.48641,1.797605,0.6775,2,332,20.27589,21.20009
9.70342,5.05,-0.733294,0.67538,0.078369,0.203841,0.08,9.88,7.28756,0.42493,2.555519,0.802,1,333,19.02716,20.68834
9.81851,6.58,-0.758375,0.651076,0.031092,0.149858,0.03,9.5,7.25239,0.42107,1.948477,0.745,1,334,19.00666,20.59631
-999,0.00,-0.528542,-0.812027,0.247497,0.383578,0.6,10.78,7.39576,0.38763,4.28379,0.937,0,335,19.85602,21.99248
-999,0.00,-0.495058,-0.772157,0.398361,0.085689,0.01,8.77,7.37289,0.27377,1.164763,0.6355,2,336,17.91428,18.49458
8.9939,0.99,-0.836533,-0.547315,-0.025665,0.519163,0.25,10.4,7.30766,0.21289,5.342442,0.88,0,337,20.42228,23.23414
9.69474,4.95,-0.85971,-0.510759,0.004972,0.199876,0.03,9.45,7.41486,0.22047,2.512458,0.7375,0,338,20.87292,22.60386
9.63866,4.35,-0.874431,-0.484554,-0.024061,0.148842,0.2,10.3,7.44969,1.23458,1.936602,0.865,0,339,19.79081,21.72965
-999,0.00,-0.914004,-0.402077,0.054137,0.332166,0.19,10.28,7.51636,1.2474,3.831062,0.862,0,340,19.34964,21.18965
-999,0.00,0.7419,-0.665716,0.08004,0.366528,0.26,10.42,7.48905,1.15513,4.137033,0.883,1,341,21.15927,22.88385
-999,0.00,-0.336649,-0.852768,0.399319,0.156161,0.03,9.42,7.45508,1.10235,2.021713,0.733,1,342,19.4479,20.9424
-999,0.00,-0.339199,-0.837319,0.428767,0.231717,0.09,9.96,7.41712,1.03167,2.851755,0.814,1,343,19.40786,21.06048
-999,0.00,-0.273472,-0.841189,0.466492,0.334673,0.17,10.22,7.41621,1.13782,3.853854,0.853,1,344,20.47828,22.42793
-999,0.00,0.859945,-0.510242,-0.012145,0.277711,0.21,10.32,7.41002,1.09252,3.316621,0.868,0,345,19.5796,21.77685
9.17199,1.49,0.854836,-0.518656,-0.015827,0.357288,0.21,10.33,7.48504,0.85388,4.056116,0.8695,0,346,21.28756,23.26198
-999,0.00,0.846824,0.53159,-0.017359,0.2792,0.6,10.78,7.38712,0.89654,3.33119,0.937,1,347,19.61246,21.02549
-999,0.00,0.996875,-0.040156,0.068022,0.053111,0.09,9.97,7.45464,0.76166,0.738763,0.8155,1,348,15.61226,16.92141
-999,0.00,0.982691,-0.178879,0.04817,0.055735,0.09,9.95,7.46598,1.04426,0.77381,0.8125,1,349,15.71483,16.96392
9.79596,6.25,0.998391,0.040161,0.040029,0.064486,0.18,10.26,7.43638,1.02214,0.889758,0.859,1,350,15.67507,16.99665
9.62857,4.25,0.870853,-0.486633,0.069309,0.065207,0.28,10.44,7.55524,0.90885,0.899245,0.886,1,351,15.90663,17.23674
-999,0.00,0.862989,0.49673,0.092243,0.226642,0.1,10.01,7.43875,0.65111,2.798665,0.8215,1,352,19.50376,21.14269
-999,0.00,-0.439589,0.759385,0.479683,0.247227,0.15,10.18,7.4999,0.74477,3.011766,0.847,1,353,19.9727,21.34165
-999,0.00,-0.451851,0.802476,0.389697,0.354181,0.63,10.8,7.46741,0.52224,4.028683,0.94,1,354,20.3296,21.63245
9.88747,7.72,-0.620078,0.74801,0.236608,0.212897,0.04,9.59,7.4385,0.51456,2.652997,0.7585,1,355,19.34001,20.78181
9.03584,1.09,-0.338415,0.544746,0.767286,0.451202,0.55,10.74,7.54872,0.43681,4.834824,0.931,0,356,19.88869,22.4075
9.0223,1.05,0.864081,0.483627,0.139529,0.089865,0,7.58,7.48368,0.4335,1.217952,0.457,2,357,19.49328,19.49232
-999,0.00,0.937206,0.308276,0.163126,0.193566,0.07,9.84,7.44271,0.36357,2.443438,0.796,2,358,19.08239,20.59361
9.89306,7.82,-0.573295,0.579612,0.579123,0.220601,0.02,9.32,7.52575,0.28807,2.734976,0.718,2,359,20.16216,21.26861
9.84824,7.05,-0.968867,-0.229139,0.093767,0.226227,0.09,9.97,7.48909,0.28763,2.79431,0.8155,0,360,19.29978,21.06128
9.83363,6.82,-0.727766,-0.681395,0.077836,0.124257,0.05,9.74,7.53363,0.24558,1.644249,0.781,2,361,17.64705,18.92986
9.93704,8.65,-0.818598,-0.567549,0.088232,0.229735,0.2,10.3,7.43683,0.13169,2.831069,0.865,2,362,18.75249,19.67528
9.60765,4.05,-0.449096,-0.889704,0.082093,0.059811,0.03,9.52,7.52769,0.16405,0.827994,0.748,1,363,19.51502,21.13871
9.99928,9.98,-0.579588,-0.777363,0.24451,0.032266,0,7.93,7.5413,0.1263,0.455559,0.5095,1,364,19.64503,21.14176
-999,0.00,-0.192628,-0.861924,0.469022,0.044828,0.28,10.44,7.4963,0.1002,0.627244,0.886,1,365,15.55345,16.88377
9.54224,3.49,-0.9408,-0.338538,-0.016945,0.088057,0.3,10.47,7.54127,1.22888,1.194953,0.8905,1,366,16.04403,17.46808
-999,0.00,0.926022,0.377337,0.01004,0.081295,0.13,10.13,7.56839,1.23525,1.108444,0.8395,1,367,16.51262,18.00145
-999,0.00,0.912755,0.408415,-0.008737,0.057856,0.15,10.18,7.67389,1.23238,0.802049,0.847,1,368,15.96314,17.36179
-999,0.00,-0.944678,-0.322257,0.061109,0.055361,0.12,10.08,7.68878,1.1866,0.768827,0.832,1,369,15.77446,17.07111
-999,0.00,-0.484359,0.107877,0.868193,0.081854,0.17,10.24,7.71767,1.02973,1.115629,0.856,1,371,16.08682,17.43591
9.5253,3.35,-0.47352,0.066242,0.878288,0.060534,0.1,10.01,7.66049,0.97908,0.837574,0.8215,1,372,15.98094,17.20191
9.47501,2.99,-0.430101,-0.157522,0.888932,0.0781,0.27,10.43,7.71141,0.85708,1.067282,0.8845,1,373,16.06232,17.41071
-999,0.00,-0.392727,-0.40434,0.825999,0.06493,0.66,10.82,7.69217,0.8566,0.895602,0.943,0,374,16.32478,18.01043
8.65598,0.45,-0.375777,-0.416774,0.827702,0.06574,0.27,10.43,7.58526,0.94145,0.906262,0.8845,1,375,15.9745,17.19964
9.7444,5.55,-0.311846,-0.661253,0.682273,0.061435,0.1,10,7.62845,1.08212,0.849502,0.82,1,376,16.09205,17.39748
9.99928,9.98,-0.362075,0.812001,0.457772,0.067012,0.59,10.77,7.62714,0.84832,0.922957,0.9355,1,377,15.84553,17.20035
-999,0.00,-0.496021,0.50326,0.707597,0.088535,0.19,10.27,7.59006,0.87363,1.201043,0.8605,1,378,16.137,17.5229
9.88934,7.75,-0.425311,0.793644,0.435016,0.085263,0.23,10.37,7.61559,0.76348,1.159308,0.8755,1,379,15.59224,16.82297
9.95826,9.08,-0.641587,0.215337,0.736204,0.072211,0.15,10.19,7.60888,0.41592,0.99091,0.8485,1,380,15.57141,16.73936
-999,0.00,-0.647469,0.049998,0.76045,0.065756,0.2,10.3,7.79981,0.62623,0.906469,0.865,1,381,15.99325,17.29981
-999,0.00,-0.837315,0.535729,0.109078,0.090072,0.22,10.34,7.81221,0.66815,1.220574,0.871,1,382,16.17834,17.55383
-999,0.00,0.865331,0.50076,-0.021023,0.209201,0.28,10.45,7.69697,0.34995,2.613367,0.8875,0,383,17.99793,19.75459
-999,0.00,-0.379103,-0.541348,0.750482,0.066859,0.33,10.52,7.69067,0.44597,0.920954,0.898,1,384,15.83149,17.06175
8.45676,0.29,-0.979894,-0.083437,0.181235,0.095832,0.27,10.43,7.65944,0.29678,1.293412,0.8845,1,385,16.06203,17.33237
9.54224,3.49,-0.547571,0.694098,0.467326,0.052209,0.37,10.57,7.64927,0.37319,0.726677,0.9055,1,386,15.69568,16.97089
9.99197,9.82,-0.549624,-0.004404,0.835401,0.077516,0.18,10.26,7.77024,0.34945,1.059745,0.859,1,387,15.83589,17.1961
9.65817,4.55,-0.705696,0.115009,0.699118,0.090404,0.21,10.32,7.74018,0.50854,1.224797,0.868,1,388,16.05822,17.36333
9.27549,1.89,-0.683415,0.414265,0.601105,0.053731,0.13,10.1,7.75031,0.30322,0.747058,0.835,1,389,15.94049,17.21344
